UT,作者,机构,第几作者
WOS:000391867400021,"Yang, Xiao-Li","Jinling Inst Technol, Sch Mat Engn, Nanjing 210000, Jiangsu, Peoples R China.",2
WOS:000863446300006,"Wang, Ke","Jinling Inst Technol, Nanjing 211169, Peoples R China.",1
WOS:000863446300006,"Kuang, Caiyuan","Jinling Inst Technol, Nanjing 211169, Peoples R China.",2
WOS:000687048700006,"Zhao, Yuan","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Peoples R China.",1
WOS:000687048700006,"Zhang, Mengqi","Jinling Inst Technol, Collaborat Innovat Inst Nanjing Ind, Nanjing 211169, Peoples R China.",2
WOS:000687048700006,"Wang, Wei","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Peoples R China.",3
WOS:000687048700006,"Song, Wenli","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Peoples R China.",4
WOS:000687048700006,"Jiang, Kanrui","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Peoples R China.",5
WOS:000687048700006,"Zhang, Xiaojuan","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Peoples R China.",6
WOS:000441556900001,"Wang, Xin","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Jiangsu, Peoples R China.",1
WOS:000441556900001,"Chen, Pin","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Jiangsu, Peoples R China.",2
WOS:000441556900001,"Hu, Xiaohong","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Jiangsu, Peoples R China.",3
WOS:001358922100001,"Xiong, Juanjuan","Jinling Inst Technol, Coll Anim Sci & Food Engn, Nanjing 210046, Peoples R China.",1
WOS:001358922100001,"Xie, Li","Jinling Inst Technol, Coll Anim Sci & Food Engn, Nanjing 210046, Peoples R China.",2
WOS:001358922100001,"Huang, Yiran","Jinling Inst Technol, Coll Anim Sci & Food Engn, Nanjing 210046, Peoples R China.",3
WOS:001358922100001,"Zhu, Jiahui","Jinling Inst Technol, Coll Anim Sci & Food Engn, Nanjing 210046, Peoples R China.",4
WOS:001358922100001,"Hong, Zhiyan","Jinling Inst Technol, Coll Anim Sci & Food Engn, Nanjing 210046, Peoples R China.",5
WOS:001358922100001,"Qian, Haoyun","Jinling Inst Technol, Coll Anim Sci & Food Engn, Nanjing 210046, Peoples R China.",6
WOS:001358922100001,"Liu, Jingjing","Jinling Inst Technol, Coll Anim Sci & Food Engn, Nanjing 210046, Peoples R China.",7
WOS:001347760300012,"Yang, Li","Jinling Inst Technol, Sch Elect & Informat Engn, Nanjing 211169, Jiangsu, Peoples R China.",1
WOS:001347760300012,"Wei, Haoyu","Jinling Inst Technol, Sch Elect & Informat Engn, Nanjing 211169, Jiangsu, Peoples R China.",2
WOS:001347760300012,"Hu, Guobing","Jinling Inst Technol, Sch Elect & Informat Engn, Nanjing 211169, Jiangsu, Peoples R China.",3
WOS:001347760300012,"Zhu, Wenqing","Jinling Inst Technol, Sch Elect & Informat Engn, Nanjing 211169, Jiangsu, Peoples R China.",4
WOS:001150526800096,"Bu, Le","JinLing Inst Technol, Sch Comp Engn, Nanjing, Jiangsu, Peoples R China.",1
WOS:001150526800096,"Hu, Caiping","JinLing Inst Technol, Sch Comp Engn, Nanjing, Jiangsu, Peoples R China.",2
WOS:001150526800096,"Zhang, Xiuliang","JinLing Inst Technol, Sch Comp Engn, Nanjing, Jiangsu, Peoples R China.",3
WOS:000933496400002,"Zhang, Xiaomin","Jinling Inst Technol, Coll Mat Engn, 99 Hong Jing Rd, Nanjing 211100, Peoples R China.",1
WOS:000691195200008,"Zhang, Wenyan","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",1
WOS:000691195200008,"Kuang, Caiyuan","Jinling Inst Technol, Coll Animat, Nanjing 211169, Peoples R China.",2
WOS:000691195200008,"Chen, Xiaoyu","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",3
WOS:000691195200008,"Yang, Xiaoli","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",4
WOS:000691195200008,"Guan, Hangmin","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",5
WOS:000739672800059,"He, Yan","Jinling Inst Technol, Sch Business, Nanjing 211169, Peoples R China.",1
WOS:000739672800059,"Hu, Linfeng","Jinling Inst Technol, Sch Business, Nanjing 211169, Peoples R China.",2
WOS:000573815400020,"Pang, Juan","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Peoples R China.",1
WOS:000573815400020,"Mao, Xincheng","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Peoples R China.",2
WOS:000573815400020,"Xu, Jialin","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Peoples R China.",3
WOS:000573815400020,"Zhao, Xiang","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Peoples R China.",4
WOS:000573815400020,"Kong, Jingyang","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Peoples R China.",5
WOS:000573815400020,"Hu, Xiaohong","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Peoples R China.",6
WOS:000287216300010,"Feng, Zhi-Qiang","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Peoples R China.",1
WOS:000287216300010,"Yang, Xiao-Li","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Peoples R China.",2
WOS:000287216300010,"Ye, Yuan-Feng","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Peoples R China.",3
WOS:000287216300010,"Wang, Huai-Qing","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Peoples R China.",4
WOS:000287216300010,"Dong, Tao","Jinling Inst Technol, Sch Mat Engn, Nanjing 211169, Peoples R China.",5
WOS:001711098700013,"Feng, Lei","Jinling Inst Technol, Sch Comp Engn, Nanjing 211169, Peoples R China.",1
WOS:001711098700013,"Bian, Mingzhu","Jinling Inst Technol, Sch Comp Engn, Nanjing 211169, Peoples R China.",2
WOS:001711098700013,"Zhu, Jun","Jinling Inst Technol, Sch Comp Engn, Nanjing 211169, Peoples R China.",3
WOS:001665489400001,"Li, Wenfeng","JinLing Inst Technol, Sch Software Engn, Nanjing 211169, Peoples R China.",1
WOS:001665489400001,"Zhang, Yucheng","JinLing Inst Technol, Sch Software Engn, Nanjing 211169, Peoples R China.",2
WOS:000834968400001,"Liu, Z.","Jinling Inst Technol, Sch Sci, Nanjing 211168, Peoples R China.",1
WOS:000834968400001,"Wang, R. X.","Jinling Inst Technol, Sch Sci, Nanjing 211168, Peoples R China.",2
WOS:000744120000024,"Chen, Weina","Jinling Inst Technol, Coll Intelligent Sci & Control Engn, Nanjing, Peoples R China.",1
WOS:000744120000024,"Yang, Zhong","Jinling Inst Technol, Coll Intelligent Sci & Control Engn, Nanjing, Peoples R China.",2
WOS:000744120000024,"Gu, Shanshan","Jinling Inst Technol, Coll Intelligent Sci & Control Engn, Nanjing, Peoples R China.",3
WOS:000744120000024,"Wang, Yizhi","Jinling Inst Technol, Coll Intelligent Sci & Control Engn, Nanjing, Peoples R China.",4
WOS:000744120000024,"Tang, Yujuan","Jinling Inst Technol, Coll Intelligent Sci & Control Engn, Nanjing, Peoples R China.",5
WOS:000691691900012,"Hu, Yuqing","Jinling Inst Technol, Sch Sci, Nanjing 211169, Jiangsu, Peoples R China.",1
WOS:000672241000002,"Liu, Jing","Jinling Inst Technol, Key Lab Data Sci & Smart Software, Nanjing 211169, Peoples R China.",1
WOS:000672241000002,"Su, Shoubao","Jinling Inst Technol, Key Lab Data Sci & Smart Software, Nanjing 211169, Peoples R China.",2
WOS:000672241000002,"Lu, Yuhua","Jinling Inst Technol, Key Lab Data Sci & Smart Software, Nanjing 211169, Peoples R China.",3
WOS:000672241000002,"Dong, Jun","Jinling Inst Technol, Key Lab Data Sci & Smart Software, Nanjing 211169, Peoples R China.",4
