UT,英文姓名,中文姓名,作者顺序
001174145400008,Liu, Yanan,柳亚男,4
001174145400008,Xu, Bei,许蓓,5
001174145400008,Wang, Yingying,王莹莹,6
001283050200012,Zhang, Ping,张萍,1
001283050200012,Xue, Mei,薛媚,2
001283050200012,Lei, Weiqiang,雷卫强,3
000897405700001,Gao, Lili,高丽丽,2
000663529300008,Feng, Meiqin,冯美琴,2
000591880200017,Fang, Xuming,方旭明,1
000559587300001,Jia, ZhiChao,贾志超,2
000527346800005,Li, J. E.,李金娥,4
000500038000011,Feng, Mei-qin,冯美琴,2
000510884300003,Zuo Xi,左熹,1
000454634300016,Meng, Chao,孟超,2
000441173100024,Guo, Hongtao,郭洪涛,8
000400199400012,Zhang, Hui,张慧,1
000394199300016,Deng, K. D.,邓凯东,1
000385034600023,Wang Yao,王瑶,6
000373911500064,Yang, Zhong,杨忠,1
000373911500064,Zhao, Hui,赵晖,2
000344749200002,Hu, Xiaohong,胡小红,7
000323958300001,Yan, Xiaoyong,严筱永,1
001692339500030,Tian, Liping,田丽萍,1
001692339500030,Chen, Lin,陈琳,4
001692339500030,Zhang, Xiang,,6
001692339500030,Shen, Lingbin,沈令斌,7
001565578700010,Zhang, Xiaomin,张小敏,1
001565578700010,Qin, Mingjun,,2
001565578700010,Ning, Guozhao,,3
001565578700010,Zhang, Tao,,4
001565578700010,Pang, Juan,庞娟,5
001565578700010,Ye, Yuanfeng,叶原丰,6
001565578700010,Li, Guangshui,李广水,8
001565578700010,Zeng, Xu,,9
001412818500062,Li, Guoli,李国利,1
001412818500062,Feng, Fei,,2
001402899000001,Liang, Dong,梁栋,2
001355590400001,Yang, Xiaomei,杨晓梅,1
001348492400001,Liu, Sha,刘莎,1
001343050000001,Chen, Junhong,陈俊红,1
001343050000001,Dai, Wei,戴薇,2
001343050000001,Lei, Weiqiang,雷卫强,4
001343050000001,Fang, Guangyuan,方光远,5
001343050000001,Dai, Dingzhen,戴鼎震,6
001273957600027,Huang, Xinmei,黄鑫梅,4
001153838600001,Wang, Shunyao,王顺尧,1
000940369000001,Shan, Xiaofeng,单晓峰,1
000940369000001,Wang, Chishe,王池社,2
000828979100001,Li, J. E.,李金娥,1
000782444700006,Hu, Guobing,胡国兵,1
000782444700006,Zhao, Pinjiao,赵嫔姣,5
000710490500008,Luo, Ronghua,罗荣华,1
000710490500008,Shi, Hua,石华,3
000613033200001,Lotz, Tom,,2
000338875200001,Li, Hui,李慧,1
000338875200001,Wang, Chishe,王池社,3
000255386000008,Wu, Ming,伍鸣,1
001673179300003,Zhu, Jie,朱杰,1
001599225600003,Zhang, Minyang,张民扬,1
001599225600003,Tian, Xinyu,,2
001599225600003,Liu, Xin,,3
001599225600003,Fan, Yiyang,,4
001599225600003,Bian, Gaorui,边高瑞,5
001599225600003,Deng, Kaidong,邓凯东,6
001599225600003,Tang, Qian,唐倩,7
001468693900001,Xu, Yun,徐云,2
001038858100001,Chen, Yuzhi,陈育志,4
000967222200001,Gao, Lili,高丽丽,2
000876298300001,Wang, Xinxin,,1
000774913800005,Fang, Yuzhuo,房玉琢,1
000774913800005,Zang, Xian,臧娴,2
000774913800005,Yang, Juan,杨娟,3
000774913800005,Zhou, Hongcheng,周洪成,4
000702737500094,Yu, Zhenzhong,余振中,1
000702737500094,Yang, Zhong,杨忠,2
000702737500094,Zhang, Yan,张燕,3
000702737500094,Wang, Yizhi,王逸之,4
000702737500094,Hu, Xingliu,胡兴柳,5
000702737500094,Tian, Xiaomin,田小敏,6
000696876800005,Li, J. E.,李金娥,4
000684807600009,Wang, Fangli,王芳丽,3
000601261600016,Wang Shun-Yao,王顺尧,3
000590957900004,Jiang, Xiaowei,江筱薇,1
000553692200001,Tong, Lili,童丽丽,4
000523562000004,Zhang, Miao,张淼,2
000506918400002,Zhang, Jing,张静,1
000493006000003,Su, Hui,苏慧,1
000416919700042,Wang, Sake,汪萨克,4
000367827900005,Deng, K. D.,邓凯东,5
000366788400021,Deng, K. -D.,邓凯东,2
000318331600008,Deng, Kaidong,邓凯东,2
000318177400010,Hu, Xiaohong,胡小红,4
000305851000047,Zhang, Dingdong,张定东,6
000293669200017,Feng, Zhiqiang,冯志强,1
000293669200017,Yang, Xiaoli,杨晓莉,2
000293669200017,Ye, Yuanfeng,叶原丰,3
000293669200017,Hao, Lingyun,郝凌云,4
001727184100001,Feng, Yan,冯炎,1
001569879100001,Wang, Xin,王昕,1
001569879100001,Song, Yongsheng,宋永生,2
001569879100001,Zhong, Wen,钟雯,4
001569879100001,Sun, Jianyu,,5
001512107200001,Jin, Chenhua,金辰华,5
000958934500001,Jiang, Ying,姜颖,1
000958934500001,Cai, Yitao,蔡逸涛,4
000453210700008,Song, Yong-sheng,宋永生,3
000388598400015,Song, Yong-sheng,宋永生,2
001694865000001,Jia, Huijuan,贾慧娟,1
001694865000001,Li, Jiawei,,2
001694865000001,Song, Yongsheng,宋永生,3
001694865000001,Wang, Shiao,,6
001323258400001,Chen, Shuai,陈帅,1
000934523600001,Chen, Yuzhi,陈育志,1
000934523600001,Xuan, Weihong,宣卫红,4
000872335900001,Wu, Lujing,吴鲁敬,1
000872335900001,Xu, Jing,徐晶,3
000711448500002,Zhang, Hui,张慧,1
000613532000001,Xue, Yu,,1
000518890800107,Zhang, Wei,张伟,4
001727759900001,Feng, Meiqin,冯美琴,1
001615721200001,Tang, Yujuan,唐玉娟,7
001496619300001,Zhong, Wen,钟雯,1
001496619300001,Song, Yongsheng,宋永生,3
001496619300001,Liu, Sumei,刘素梅,4
001496619300001,Xu, Mengyao,,5
001496619300001,Wang, Xin,王昕,6
001442711500001,Chen, Qiong,陈琼,1
001141870700057,Liang, Xingcheng,,2
001141870700057,Niu, Shuai,,3
001141870700057,Zhang, Chi,,4
001141870700057,Lyu, Fei,吕飞,5
001035044500001,Xie, Li,谢丽,2
000706392000003,Wang, Wei,汪玮,4
000447918100009,Wang, Min,王敏,1
000447918100009,Yang, Zhong,杨忠,3
000403039400003,Guo Haifeng,郭海凤,1
000403039400003,Su Shoubao,苏守宝,2
000361093900016,Zai, Xueming,宰学明,1
000361093900016,Hao, Zhenping,郝振萍,4
000322616500009,Hu, Xiaohong,胡小红,1
000322616500009,Qiu, Jie,,2
000322616500009,Ma, Xiaohan,,5
000312611400040,Yang, Xiaoli,杨晓莉,1
001698665700001,Wan, Jian,万剑,1
001698665700001,Zeng, Yue,曾岳,2
001698665700001,Liu, Huayu,,6
001582697500001,Zhang, Xiaomin,张小敏,1
001582697500001,Zhang, Zhuoya,,2
001582697500001,Tang, Weilei,,3
001582697500001,Ye, Yuanfeng,叶原丰,4
001582697500001,Yang, Xiaoli,杨晓莉,5
001582697500001,Li, Guangshui,李广水,6
001582697500001,Zhang, Xinyan,,8
001582697500001,Ning, Guozhao,,9
001326595100001,Song, Yongsheng,宋永生,3
001196533200101,Zhao, Juan,赵娟,3
001158829200001,Cheng, Renxiang,程任翔,1
000857638400001,Jia, Huijuan,贾慧娟,1
000857638400001,Song, Yongsheng,宋永生,2
000785446000001,Guo, Yu,郭语,5
000681066000017,Li Chaoyue,李超越,1
000681066000017,Xu Lei,徐雷,3
000604092100026,Tian, Xiaomin,田小敏,4
000519652800105,Zhang, Zili,张子立,5
