UT,英文姓名,中文姓名,作者顺序
000521538400002,Shi, Ying,史莹,3
000464480800017,Wang, Sake,汪萨克,4
000466551600344,Jiang, Xiaowei,江筱薇,3
000396594600001,Zhang, Xiaojuan,张小娟,1
000396594600001,Zhang, Zhiying,,3
000396594600001,Hu, Xiaohong,胡小红,4
000396594600001,Hao, Lingyun,郝凌云,5
000396594600001,Lin, Qing,林青,6
001693968400001,Zhang, Rui,张睿,1
001579727600001,Kong, Lingjun,孔令军,1
001579727600001,Miao, Jiacheng,,4
001363664900001,Xu, Bei,许蓓,6
000896308600001,Zhao, Pinjiao,赵嫔姣,1
000896308600001,Hu, Guobing,胡国兵,4
000612544800039,Ma, Qun,,3
000480669500017,Zhang, Wenyan,张文妍,3
000460244400001,Hu, Guangming,胡光明,4
000356987900009,Deng, K. -D.,邓凯东,4
000335734400027,Zhang, Changqing,张长青,7
001576852700001,Zheng, Xianyan,郑鲜艳,4
001225483800001,Fang, Junmin,,3
001078411900001,Wang, Yizhi,王逸之,7
001033061700001,Hu, Xuemin,胡学敏,3
001033061700001,Wang, Wei,汪玮,4
000900793700005,Xu, Bin,徐斌,1
000859353500001,Chen, Huan,陈欢,1
000585294800007,Wang, Wei,汪玮,1
000585294800007,Liu, Guanghui,,2
000585294800007,Hao, Lingyun,郝凌云,3
000585294800007,Lin, Ling,,4
000585294800007,Lin, Qing,林青,6
000585294800007,Guan, Hangmin,管航敏,7
000560297300006,Wang, Yingying,王莹莹,3
000560297300006,Ding, Kaimeng,丁凯孟,6
000453592600004,Zheng, Wu,郑武,3
000388046900035,Hu, Xiaohong,胡小红,8
001648309200001,Wang, Sake,汪萨克,1
001531893200001,Gao, Yingjie,高英杰,5
001453480500001,Song, Shoutan,宋守坛,2
001253376600001,Zhao, Yijie,赵毅杰,1
001253376600001,Sun, Yuhao,,2
001253376600001,Chen, Chunyang,,3
001253376600001,Sun, Luanhong,孙孪鸿,6
001030386000023,Ma, Haoxia,马好霞,5
001039037400001,Chen, Lin,陈琳,5
000932309000022,Liu, Lei,刘磊,1
000645067700001,Li, Jine,李金娥,4
000528273200014,Ma, Yan,马艳,3
000423653300009,Feng, Lei,封磊,2
000330161400022,Liu, Hong,刘宏,3
000330161400022,Zhao, Mizhen,,5
000325757900004,Hu, X. H.,胡小红,3
000321349500001,Mo, Xiaohui,莫晓晖,1
000251536800032,Dai, Shaoyu,戴绍虞,1
001670929100001,Yang, Huizhen,杨慧珍,1
001670929100001,Chen, Peng,陈鹏,3
001577437000007,Wang, Xiaoqian,汪晓倩,1
001577437000007,Li, Xinyang,,2
001577437000007,Chen, Yuzhi,陈育志,3
001512539200002,Yu, Jingxue,于敬学,5
001469040500001,Lv, Lelin,吕乐琳,1
001060595700027,Zhu, Zhu,朱柱,1
000747689900060,Chen, Danyan,陈丹艳,1
000747689900060,Liu, Ya,刘娅,3
000747689900060,Li, Shilong,,7
000747689900060,Ma, Jingze,,8
000747689900060,Wu, Siyuan,,9
000493525500072,Gu, Wei,,1
000467500700008,Lin, Hongwei,林洪伟,1
000467500700008,Su, Shoubao,苏守宝,4
000464482600017,Fu, Bin,符斌,3
000445170200140,Hu, Xiaohong,胡小红,12
000307808900011,Guo Yu-Fei,郭宇飞,2
001695093700001,Dai, Wei,戴薇,1
001651809500001,Wang, Xiaoqian,汪晓倩,1
001651809500001,Chen, Yuzhi,陈育志,3
001635082000001,Yang, Laiyun,杨来运,1
001635082000001,Wang, Shiao,,2
001635082000001,Song, Yongsheng,宋永生,4
001583768800001,Yang, Huizhen,杨慧珍,2
001583768800001,Sun, Chen,,5
001535763700001,Tang, Yuzhu,唐宇珠,2
001419843300001,Dai, Qian,代倩,8
001644603500016,Hu, Xuejiao,胡雪娇,3
001242278500001,Zhao, Yijie,赵毅杰,6
001193311700001,Shen, Lingbin,沈令斌,1
001193311700001,Tian, Liping,田丽萍,2
000852508400001,Lotz, Tom,,1
000852508400001,Su, Shoubao,苏守宝,2
000751892400004,Chen, Hui,陈晖,5
000642761600001,Ding, Kaimeng,丁凯孟,1
000642761600001,Xu, Nan,徐楠,3
000504103000008,Chen, Miao,陈淼,2
000473285900003,Sun, Yao,孙垚,1
000341550900024,Deng, K. D.,邓凯东,5
000334973400004,Feng, Meiqin,冯美琴,4
000338336900005,Lin, Hongwei,林洪伟,1
000312366700021,Lin, Hongwei,林洪伟,1
000270345000006,Meiqin, Feng,冯美琴,3
001588492700001,Kong, Lingjun,孔令军,2
001231399900001,Wang, Zhongwei,王忠伟,1
001134806200001,Liu, Jingge,刘京鸽,1
001134806200001,Zhang, Jinbi,张金璧,3
001134806200001,Xu, Shiyong,徐世永,4
001134806200001,Wu, Jiege,吴结革,5
001134806200001,Ma, Fanhua,马凡华,7
001134806200001,Chen, Qing,陈清,8
000877596500007,Zhao, Yijie,赵毅杰,5
000857868400001,Wang, Wei,汪玮,1
000857868400001,Zhi, Guowei,,2
000857868400001,Liu, Liu,,3
000857868400001,Fei, Yujie,,4
000857868400001,Sheng, QinYang,,5
000857868400001,Shi, Yushi,,6
000740440000002,Li, Jine,李金娥,4
000482851400003,Song, Yongsheng,宋永生,5
000428930600009,Feng, Lei,封磊,5
000419116600074,Zhang, Wenyan,张文妍,1
000401134200004,Zhang, Wenyan,张文妍,2
000374916800032,Hu, Xiaohong,胡小红,8
000369950600016,Yan, Xiaoyong,严筱永,1
000369950600016,Yang, Zhong,杨忠,2
000369950600016,Liu, Yu,刘钰,5
000369950600016,Zhu, Ronghui,,6
000294080100022,Xu, Shiyong,徐世永,1
001065522500001,Qu, Yawei,曲雅微,4
000771077300001,Xiao, Wenke,,1
000771077300001,Zhang, Xiaojuan,张小娟,2
000771077300001,Hao, Lingyun,郝凌云,3
000771077300001,Zhao, Yuan,赵媛,4
000771077300001,Lin, Qing,林青,5
000771077300001,Wang, Zhao,王昭,6
000771077300001,Song, Wenli,宋文利,7
000771077300001,Liang, Dong,梁栋,8
000629623300035,Zai, Xue-Ming,宰学明,1
000629623300035,Fan, Jun-Jun,范俊俊,2
000629623300035,Hao, Zhen-Ping,郝振萍,3
000587534300041,Guo, Haifeng,郭海凤,5
000581830300024,Gao, Ying-Jie,高英杰,1
000581830300024,Ye, Quan-Yi,叶全意,2
000581830300024,Zhang, Jin,张金,3
000533511200067,Li, J. E.,李金娥,3
000509520200001,Qi, Zheng-Qing,祁正青,7
000524718700010,Yang, Zhong,杨忠,3
000503827500010,Yang, Lechan,杨乐婵,3
000380680400008,Yu HaiYan,于海燕,1
000381882100011,Liu Su-qiong,刘素琼,1
000354164800008,Dai, Shaoyu,戴绍虞,1
000348714300011,Li, Hongqiu,李鸿秋,1
000273827400048,Liu Ping,刘平,1
001709813900001,Tong, Chao,童超,1
001648374000001,Wang, Panxiu,王潘绣,1
001648374000001,Chen, Bin,陈斌,2
001648374000001,Yao, Xiang,,4
001648374000001,Dong, Jiawei,,5
001615492200001,Ma, Lejun,马乐军,1
001615492200001,Yuan, Yue,,2
001615492200001,Liu, Yanan,柳亚男,5
001615492200001,Hu, Wei,胡苇,6
001193340800001,Wang, Sake,汪萨克,1
001137064100001,Bian, Gaorui,边高瑞,1
001137064100001,Cheng, Chao,,3
001076998100001,Chen, Lin,陈琳,8
001009379300001,Han, Bing,韩冰,5
000859599700004,Wang, Yuanyuan,汪园园,1
000859599700004,Zhong, Qian,,2
000859599700004,Wu, Linqiu,,3
000859599700004,Guan, Hangmin,管航敏,5
000859599700004,Hu, Yingfei,胡颖飞,6
000859599700004,Lin, Qing,林青,7
000859599700004,Wang, Wei,汪玮,8
000599846600023,Sun, Yao,孙垚,3
000459458600008,Wan, Sake,,4
000456465400006,Liu, Yu,刘钰,1
000456465400006,Yang, Zhong,杨忠,2
000359751600017,Deng Kai-dong,邓凯东,4
000329828900012,Tong, Lili,童丽丽,2
000313405400008,Lin Qing,林青,2
001318315100001,Wang, Wei,汪玮,8
001006492400001,Zhang, Chaolong,张朝龙,1
001006492400001,Yang, Zhong,杨忠,3
000597226700049,Wang, Qianqian,王倩倩,1
001166718500001,Zhao, Pinjiao,赵嫔姣,1
001166718500001,Hu, Guobing,胡国兵,5
000370986500031,Ye, Yuan-Feng,叶原丰,4
000347709300003,Li, Xinhua,李新华,4
001274903800001,Yang, Xiaomei,杨晓梅,1
001084108000001,Yang, Xiaomei,杨晓梅,1
000900958200001,Zhong, Wen,钟雯,1
000900958200001,Song, Yongsheng,宋永生,2
000800533100008,Zhang, Xiaojuan,张小娟,1
000800533100008,Wei, Pengfei,韦鹏飞,2
000800533100008,Wang, Zhao,王昭,3
000800533100008,Zhao, Yuan,赵媛,4
000800533100008,Xiao, Wenke,,5
000800533100008,Liang, Dong,梁栋,7
000800533100008,Lin, Qing,林青,8
000800533100008,Song, Wenli,宋文利,9
000800533100008,Wang, Huan,王欢,11
000681476900001,Liu, Ya,刘娅,4
000638943000001,Ma, Lejun,马乐军,6
000651457700002,Ning, K.,宁坤,1
000651457700002,Jiang, C. Z.,,3
000651457700002,Wu, H. M.,,4
000651457700002,Jiang, J. L.,,5
000651457700002,Chen, J.,陈静,6
000651457700002,Ma, Y.,马艳,8
000432646100005,Feng, Lei,封磊,4
000424092300029,Wei, Guanghua,魏广华,1
001612400600001,Zhang, Rui,张睿,1
001490813800005,Li, Yu,李玉,1
001412405900001,Zhang, Leng,张冷,1
001412405900001,Huang, Jiajian,,2
001412405900001,Liu, Fei,刘飞,4
001412405900001,Zhang, Pengzhan,张鹏展,5
001412405900001,Wang, Danbei,王丹蓓,6
001412405900001,Wu, Kongping,吴孔平,7
000933623600001,Tao, Jing,陶静,3
000874426200009,Wang, Yunji,王云姬,1
000874426200009,Liu, Fei,刘飞,3
000874426200009,Chen, Lin,陈琳,4
000678479900001,Huang, Yong,黄勇,5
000489115200276,Song, Yongsheng,宋永生,5
000309316700006,Zhang, Miao,张淼,1
001483686200001,Xie, Li,谢丽,1
001483686200001,Shen, Jingyi,,2
001435359000001,Wu, Kaili,吴凯丽,4
001164696000032,Yan, Xinyun,颜新云,5
000977388800001,Ding, Kaimeng,丁凯孟,5
000614995400001,Song, Yongsheng,宋永生,1
000614995400001,Jia, Huijuan,贾慧娟,6
000733731400001,Yang, Lechan,杨乐婵,4
000871987200001,Xu, Bei,许蓓,1
000529909800054,Jin, Chenhua,金辰华,3
001484952300001,Hu, Yingfei,胡颖飞,4
001465421000001,Hu, Yingfei,胡颖飞,1
001465421000001,Xue, Yang,,2
001465421000001,Qi, Yujia,,3
001465421000001,Wang, Yuanyuan,汪园园,5
001465421000001,Qin, Runhua,秦润华,6
001465421000001,Liang, Dong,梁栋,7
000910645600001,Wang, Jiaqi,王嘉琦,1
000621420900004,Qiu, Jianfeng,,1
000614253100001,Zhang, Hui,张慧,1
000384832900002,Wang, X. Q.,汪晓倩,3
000734135700009,Jiang, Yue,姜悦,5
000703174000002,Zhu, Ronggang,朱荣刚,1
000367211900008,Wu, Jiege,吴结革,2
001335122800001,Wang, Dawei,王大伟,3
000443279700026,Zhao, Haifeng,赵海峰,3
000435003100008,Zhang, M.,张敏,2
001683262500002,Wang, Sa Ke,汪萨克,5
001396675000088,Zhang, Chaolong,张朝龙,1
001396675000088,Zhou, Yujie,,2
001396675000088,Zhou, Ziheng,周子恒,3
001396675000088,Chen, Shi,陈石,4
000933212600001,Sun, Luanhong,孙孪鸿,1
000933212600001,Wang, Wei,汪玮,2
000933212600001,Hao, Lingyun,郝凌云,3
000933212600001,Zhao, Yijie,赵毅杰,5
000933212600001,Tang, Zhengxia,唐正霞,6
000933212600001,Zhi, Guowei,,7
000729175700011,Liu, Tongjin,刘同金,2
000626161600001,Hu, Yingfei,胡颖飞,1
000626161600001,Wang, Wei,汪玮,4
000626161600001,Guan, Hangmin,管航敏,5
000380418600008,Zhang li-hang,张理航,5
001715502000045,Zhu, Jie,朱杰,1
001114446300001,Zhang, Ling,张玲,6
001079828600008,Guo, Jing,郭婧,1
001079828600008,Zhu, Xianjun,朱咸军,2
001079828600008,Li, Wenfeng,李文锋,3
001079828600008,Li, Hui,李慧,4
001012824000003,Zuo, Xi,左熹,5
000990838400001,Hu, Yingfei,胡颖飞,1
000990838400001,Qi, Yujia,,2
000990838400001,Hao, Lingyun,郝凌云,5
000990838400001,Wang, Yuanyuan,汪园园,6
000990838400001,Guan, Hangmin,管航敏,7
000897603300001,Hu, Yingfei,胡颖飞,1
000897603300001,Guan, Hangmin,管航敏,6
000897603300001,Hao, Lingyun,郝凌云,7
000664387100001,Huang, Xinmei,黄鑫梅,3
000561099300013,Feng, Lei,封磊,5
000382748200004,Zhang, M.,张敏,6
000344721000010,Hu, Yong,胡勇,4
001700053100001,Xu, Qin,徐琴,6
001429055400001,Wang, Yuxuan,,9
001409674500001,Lili, Fan,范利利,1
001540998600001,Liu, Xiaofang,柳小芳,1
001305584400001,Hu, Xuemin,胡学敏,1
001305584400001,Wang, Wei,汪玮,3
001305584400001,Zhang, Xingjian,,4
001305584400001,Meng, Yufei,,5
001305584400001,Ye, Yuanfeng,叶原丰,6
001118772700001,Jiang, Jiajing,蒋加进,5
000783089300001,Li, Wenqin,李文勤,1
000659526800010,Su, Hui,苏慧,1
000664976000003,Liu, Yanan,柳亚男,1
000664976000003,Zhang, Zheng,张正,4
000664976000003,Yan, Hao,阎浩,5
000664976000003,Cheng, Yuan,程远,6
000664976000003,Qiu, Shuo,邱硕,7
000590702500002,Liang, Dong,梁栋,2
001438199900013,Zhao, Pinjiao,赵嫔姣,1
001438199900013,Hu, Guobing,胡国兵,3
001681696100001,Wan, Jian,万剑,5
001463496200023,Zhang, Kai,章凯,2
001262493300001,Dai, Qian,代倩,1
001262493300001,Zhang, Lingling,张玲玲,3
001262493300001,Qi, Zhengqing,祁正青,4
001262493300001,Chen, Peng,陈鹏,5
001220191400001,Tao, Xingyuan,,6
001097368100001,Li, Jingxian,李景仙,3
000887034800001,Wang, Xia,王霞,2
000747124100001,Zhang, Ling,张玲,1
000464625000038,Qin, Fang,秦芳,1
000453708600001,Wei, Guanghua,魏广华,1
000308947500007,Wang, Shaoping,王绍平,3
001273629300001,Wang, Chao,王超,4
001273629300001,Ye, Zhirui,叶智锐,5
001224911800022,Zhao, Juan,赵娟,2
000684894900001,Pei, Pengyu,裴鹏宇,2
000443812400004,Xu, Shiyong,徐世永,3
000443812400004,Chen, Qing,陈清,4
000435110800008,Li, Qinfeng,李勤丰,1
001526149400001,Fan, Junjun,范俊俊,5
001447188800001,Wang, Bingjun,王丙均,1
001342828900113,Shan, Xiaofeng,单晓峰,1
001342828900113,Wang, Jie,王洁,2
001342828900113,Yan, Xinyun,颜新云,3
001342828900113,Wang, Chishe,王池社,4
001305666300001,Dong, Ruchan,董如婵,1
001305666300001,Yin, Shunyao,,2
001305666300001,Wu, Wenjing,,5
000915077400001,Ma, Yan,马艳,4
000846884500014,Kong, Lingjun,孔令军,5
000830524900002,Zhang, Ruoyan,张若琰,1
000668988000002,Yan, Hao,阎浩,1
000668988000002,Liu, Yanan,柳亚男,2
000668988000002,Zhang, Zheng,张正,3
000668988000002,Wang, Qian,王茜,4
000637358700002,Hu, Guangming,胡光明,1
000637358700002,Qian, Xinjie,钱欣洁,4
000322391400039,Zhang, Miao,张淼,4
001719846500001,Liu, Li,刘丽,1
001636484800006,Hu, Xuemin,胡学敏,1
001636484800006,Zhang, Xingjian,,2
001636484800006,Jiang, Zhihao,,3
001636484800006,Huang, Liwen,,4
001103021200025,Zhang, Yan,张燕,5
000882672700001,Jin, Chenhua,金辰华,3
000629177800086,Chen, Danyan,陈丹艳,1
000491343200033,Wang, Sake,汪萨克,1
000491343200033,Zhang, Pengzhan,张鹏展,2
000491343200033,Pang, Juan,庞娟,5
000491343200033,Song, Chi,宋驰,6
000459196900008,Li, Yunxia,李云霞,3
000503403300015,Song, Yong-sheng,宋永生,3
000403920800002,Zhang, Miao,张淼,6
000380362700014,Zhang, Wenyan,张文妍,4
000327734800001,Zhang, Rui,张睿,3
001104783600001,Zhou, Guangyao,周光耀,1
001104783600001,Wei, Chao,魏超,2
001104783600001,Li, Jing,李静,6
000795464500001,Jin, Chenhua,金辰华,4
000553698000001,Huang, Lili,黄丽丽,3
000621193300027,Qiu, Shuo,邱硕,2
000347403200021,Zhang, Zhicheng,张志成,1
000347403200021,Dai, Dingzhen,戴鼎震,4
001475721800001,Wang, Chao,王超,1
001475721800001,Wu, Hao,,2
001475721800001,Ye, Zhirui,叶智锐,4
001289909200001,Zuo, Xi,左熹,4
001114713100022,Hu Cai-ping,胡彩平,1
001062180800001,Wang, Wei,汪玮,1
001062180800001,Sheng, Qinyang,,2
001062180800001,Zhi, Guowei,,3
001062180800001,Zhao, Yuan,赵媛,4
001062180800001,Qu, Ruiyang,,5
001062180800001,Sun, Luanhong,孙孪鸿,6
001036799200002,Chen, Xiaoyun,陈晓云,1
000685075400006,Deng, Yaling,邓亚玲,1
000663433700033,Sun, Li,孙丽,1
000892087100007,Li, Enkang,李恩康,1
000892087100007,Ma, Yingyi,马颖忆,2
000779058900007,Kong, Lingjun,孔令军,4
000498686400002,Li, J. E.,李金娥,4
001481837400001,Xiong, S.,,1
001203820400001,Zhu, Jie,朱杰,1
001128966500001,Wang, Sake,汪萨克,2
001098663500002,Lei, Weiqiang,雷卫强,3
001088236300002,Wang Sa-Ke,汪萨克,6
001065604700001,Wang, Jian,汪建,1
001065604700001,Li, Yunxia,李云霞,2
001015785400001,Xu, Lei,徐雷,1
001015785400001,Zhou, Jinyu,周金宇,3
000746030100001,Li, Yuping,李玉萍,1
000582595800046,Zhang, Leng,张冷,3
000448794300010,Dai, Shaoyu,戴绍虞,1
000322171700103,Zhang, Changqing,张长青,1
000322171700103,Zhu, Shinong,朱士农,4
000322171700103,Li, Hailing,李海玲,5
001551565200001,Wang, Xuedao,王雪道,4
001393316400001,Bai, Bingfeng,白冰峰,2
001284867500023,Hu Cai-ping,胡彩平,1
001243452700001,Du, Hechao,杜贺超,5
000716468800063,Zhu, Ronggang,朱荣刚,1
000472654200001,Meng, Chao,孟超,1
000472654200001,Dai, Xi,戴西,3
000310930600009,Nie Ying,聂影,3
001559336900001,Wei, Chao,魏超,1
001437311600001,Zhang, Rui,张睿,1
001254694700001,Ma, Ji,马冀,1
000942881600003,Pei, Pengyu,裴鹏宇,2
000577481300042,Shen, Qianyan,沈乾彦,2
000523629100030,Wang, Rui-Xue,王瑞雪,2
000291085200012,Zhang, Miao,张淼,1
001429728800001,Xu, Lei,徐雷,1
001429728800001,Zhou, Jinyu,周金宇,3
001335741500001,Wu, Hao,,1
001335741500001,Wang, Chao,王超,3
001335741500001,Ye, Zhirui,叶智锐,4
000959159600001,Cai, Yitao,蔡逸涛,1
000886502700001,Wang, S. K.,汪萨克,6
000843777600001,Zhu, Min,朱敏,1
000735308700004,Zhao, Yijie,赵毅杰,3
000734884900006,Sun, Ping,孙萍,6
000593976300042,Guo, Hongtao,郭洪涛,4
000382655300008,Zhang, Miao,张淼,2
000389770300118,Zhang, Wenyan,张文妍,1
000389770300118,Chen, Jiahua,,2
000389770300118,Hao, Lingyun,郝凌云,4
001664486900001,Wang, Bingjun,王丙均,1
001497627000001,Xie, Li,谢丽,6
001361969500001,Chen, Huan,陈欢,1
000977124700001,Wang, Sake,汪萨克,1
001053237900001,Zhao, Juan,赵娟,1
001053237900001,Yan, Hao,阎浩,4
001053237900001,Zhang, Zheng,张正,5
000899728800001,Bian, Linxiao,,5
000506643400051,Wang, Hehua,王翯华,3
000487564400029,Li, J. E.,李金娥,1
000445618700001,Yang, Zhong,杨忠,4
000374665400003,Zhang, Miao,张淼,2
001599330100001,Jiang, Yue,姜悦,5
001538066400001,Du, Shan-Shan,杜姗姗,2
001329659000001,Hu, Xuemin,胡学敏,5
001162781200001,Zhao, Di,赵迪,2
001055908100001,Qu, Yawei,曲雅微,6
000992760800002,Fan, Junjun,范俊俊,4
000781629900078,Chen, Danyan,陈丹艳,1
000781629900078,Sun, Shuhui,,7
000663341100002,Sun, Li,孙丽,1
000502499200001,Liang, Dong,梁栋,2
000440816900018,Deng, Kaidong,邓凯东,5
000419231500210,Chen, Lingling,陈玲玲,1
000395602000010,Zhang, Wenyan,张文妍,1
001656672900003,Fan, Wenhu,樊文虎,4
000834161700255,Wang, Yizhi,王逸之,1
000834161700255,Yang, Zhong,杨忠,2
000834161700255,Ge, Shanshan,葛珊珊,4
000834161700255,Gu, Shanshan,顾姗姗,5
000834161700255,Chen, Weina,陈维娜,8
000808883200001,Hao, Ling-Yun,郝凌云,4
000788187500001,Zuo, X.,左熹,3
000605124500001,Wang, Shun-yao,王顺尧,6
000564383000001,Wang, Yan,王艳,1
000564383000001,Li, Jiang,,5
000454437500037,Lin, Qing,林青,1
000454437500037,Wang, Wei,汪玮,4
000454437500037,Zhang, Xiaojuan,张小娟,5
000454437500037,Hao, Lingyun,郝凌云,6
001669274600007,Dong, Ruchan,董如婵,1
001669274600007,Wu, Wenjing,,2
001669274600007,Yin, Shunyao,,6
001669274600007,Yun, Zengxin,云增鑫,7
001590338800001,Tang, Jiaxuan,唐家轩,8
001565252700001,Fan, Chang-Chun,范长春,1
001565252700001,Zhao, Yu-Hang,,5
001439634600001,Li, Chaoyue,李超越,4
001225544000001,Zhang, Chaolong,张朝龙,1
001225544000001,Yang, Zhong,杨忠,3
000764318600001,Wang, Sake,汪萨克,3
000748372000071,Wang, Jiaqi,王嘉琦,2
000613069200002,Niu, Ben,牛犇,1
000557345500035,Wang, Rui-Xue,王瑞雪,2
000416529500007,Zhu, Lingxue,朱凌雪,5
001698501000001,Fan, Chang-Chun,范长春,5
001248515500001,Zhang, Pengzhan,张鹏展,6
001189331600001,Wang, Jianquan,王建全,1
001189331600001,Guan, Hangmin,管航敏,3
001189331600001,Fu, Hailuo,付海罗,4
001059183600001,Qu, Yawei,曲雅微,4
000558138300039,Liu, Ya,刘娅,1
000558138300039,Shen, Qianyan,沈乾彦,4
000558138300039,Zhao, Haifeng,赵海峰,5
000558138300039,Tao, Yuting,陶玉婷,6
000489272700003,Wang, Zhao,王昭,1
000489272700003,Hao, Lingyun,郝凌云,2
000489272700003,Zhang, Xiaojuan,张小娟,3
000455988500023,Wang, Sake,汪萨克,2
000430533200001,Huang, Dandan,黄丹丹,1
001614501000001,Han, Lili,韩丽丽,2
001339710600001,Ma, Haoxia,马好霞,4
001367993600001,Dai, Qian,代倩,1
001367993600001,Zhang, Lingling,张玲玲,4
001367993600001,Qi, Zhengqing,祁正青,5
001367993600001,Chen, Peng,陈鹏,6
001367993600001,Chen, Lin,陈琳,7
001036489100001,Luo, Qian,罗茜,5
000837700800007,Xiao, Fangxiong,肖芳雄,4
000685165300019,Sun, Li,孙丽,1
000649989900001,Zhu, Yong,朱勇,1
000649989900001,Huang, Chao,黄超,2
000558019400001,Song, Yongsheng,宋永生,4
000313294200016,Zhang, Zhicheng,张志成,1
001347649900001,Wang, Panxiu,王潘绣,1
001347649900001,Wang, Dawei,王大伟,2
001347649900001,Qi, Xiao,祁潇,4
001222379400001,Guo, Jing,郭婧,1
001222379400001,Zhu, Xianjun,朱咸军,2
001222379400001,Li, Hui,李慧,3
001027218200001,Qu, Yawei,曲雅微,3
000913403600030,Sun, Li,孙丽,1
000913403600030,Li, Tianyu,,2
000913403600030,Zhou, Jiajian,,3
000913403600030,Li, Wenhao,,4
000913403600030,Wu, Zhongming,吴钟鸣,5
000913403600030,Niu, Ruikun,牛瑞坤,6
000913403600030,Cheng, Jinxiang,程锦翔,7
000916331900001,Liu, Fei,刘飞,1
000916331900001,Wang, Yunji,王云姬,6
000849682900001,Xu, Yu,许煜,3
000742132400001,Ding, Kaimeng,丁凯孟,1
000742132400001,Zeng, Yue,曾岳,5
000742132400001,Tian, Jin,田锦,6
000595143000003,Liang, Dong,梁栋,2
000550137500001,Wang, Shunyao,王顺尧,4
000431391700001,Hu, Yong,胡勇,5
000357751700005,Pang, Juan,庞娟,1
000357751700005,Ye, Yuanfeng,叶原丰,2
000357751700005,Pang, Xiaoying,,4
000357751700005,Wu, Chunyan,,5
001515120400001,Qu, Yawei,曲雅微,3
000876560400001,Shi, Haihua,石海华,1
001672514300001,Wang, Sake,汪萨克,1
001586883700015,Fan, Junjun,范俊俊,5
001503400300001,Wang, Zhao,王昭,1
001490584200001,Wang, Zhao,王昭,1
001490584200001,Wang, Xiaomei,,2
001490584200001,Zhou, Yao,,3
001490584200001,Zhang, Xiaojuan,张小娟,4
001490584200001,Lin, Qing,林青,6
001490584200001,Wang, Yujie,,7
001112652500001,Wei, Pengfei,韦鹏飞,1
000599707400001,Lin, Qing,林青,1
000599707400001,Zhang, Xiaojuan,张小娟,2
000599707400001,Wang, Wei,汪玮,3
000599707400001,Li, Junlin,李俊琳,5
000599707400001,Hao, Lingyun,郝凌云,6
000503870100007,Hu, Guangmin,,2
000451073200003,Wei, Chao,魏超,2
001696185500001,Wan, Jian,万剑,1
001598282600004,Yan, Fang,闫芳,3
001443135100001,Zhang, Zhiqiu,张之秋,4
000880313600011,Tian, Liping,田丽萍,7
000762817600001,Zhang, Zedong,,6
000367612600014,Wang, Qianqian,王倩倩,3
000719241800001,Chen, Hui,陈晖,1
000719241800001,Feng, Meiqin,冯美琴,2
000719241800001,Li, Jing,李静,3
000719241800001,Lu, Jie,陆洁,4
000719241800001,Chen, Junhong,陈俊红,6
000719241800001,Chen, Wenjun,陈文君,9
000538332300007,Pei, Pengyu,裴鹏宇,1
000475512700012,Dai, Shaoyu,戴绍虞,1
000478765700027,Wang, Hehua,王翯华,4
000451073200034,Wei, Chao,魏超,2
001657104000001,Chen, Danyan,陈丹艳,1
001657104000001,Jiang, Xiaorui,,2
001657104000001,Ma, Jingze,,6
001657104000001,Zhang, Qun,,7
001657104000001,Gao, Tianrui,,8
001657104000001,Xu, Chenxi,,9
001657104000001,Li, Shilong,,10
001657104000001,Cheng, Leirui,,11
001616887200001,Tang, Jiaxuan,唐家轩,8
001541492300001,Han, Bing,韩冰,4
001127159800007,Yan, Xinyun,颜新云,1
001127159800007,Wang, Jie,王洁,5
001127159800007,Wang, Chishe,王池社,7
000608691300014,Lyu, Fei,吕飞,1
000498195900016,Qiu, Shuo,邱硕,6
000362786800001,Zhou, Hongcheng,周洪成,1
000331717400088,Zhang, M.,张敏,6
000777088000001,Song, Yongsheng,宋永生,3
000519661800106,Wang, Rui-Xue,王瑞雪,3
000364247500092,Lin, Qing,林青,1
000364247500092,Zhang, Xiaojuan,张小娟,2
001714537600001,Fan, Chang-Chun,范长春,1
001714537600001,Fu, Hai-Luo,付海罗,5
001385183400001,Zhang, Chaolong,张朝龙,1
001385183400001,Yang, Zhong,杨忠,3
001385183400001,Zhou, Ziheng,周子恒,5
000955096900002,Zhang, Chaolong,张朝龙,6
000740576000001,Jiang, Xiaowei,江筱薇,2
000733480300001,Zheng, Wei,郑玮,1
000408754100012,Nie, Ying,聂影,3
000332937600078,Zhan, Jiang,,1
000332937600078,Zhan, Xiaojuan,,5
001694148200001,Zheng, Xianyan,郑鲜艳,1
001680872300004,Jiang, Yue,姜悦,4
001537040900001,Gao, Huimin,高蕙敏,1
001236407500001,Zhang, Rui,张睿,1
001171003900162,Wang, Yizhi,王逸之,4
000487349600007,Wang, Sake,汪萨克,3
000461678300136,Liu, Xiaomeng,刘小萌,1
001386000000001,Xie, Li,谢丽,2
001386000000001,Xiong, Juanjuan,熊娟娟,4
001168320400001,Yang, Dong,杨栋,2
001086521000001,Ma, Haoxia,马好霞,6
001108635700010,Wang, Shanshan,王珊珊,2
000838106300001,Song, Yongsheng,宋永生,3
000790969400003,Song, Chi,宋驰,1
000790969400003,Wang, Sake,汪萨克,5
000464796300001,Ye, Yuanfeng,叶原丰,1
000464796300001,Zhang, Xiaojuan,张小娟,2
000464796300001,Deng, Xiang,,3
